M2,M4-Archive,FS1,Belmullet-AMETS,M1,M3,M6,M4,M5,date
3343.664553226687,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6313.159614174831,2643.3363303661386,1447.809144298836,2506.2980093876586,2008-10-05
3345.2228865600205,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6315.484614174831,2646.0880092669477,1450.6674776321693,2508.132791996354,2008-10-06
3346.6520532266873,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6318.0762808414975,2648.8447681602283,1452.959144298836,2510.1911253296876,2008-10-07
3347.752053226687,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6321.030447508164,2651.60660704598,1455.896644298836,2512.1536253296877,2008-10-08
3349.631219893354,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6324.163780841497,2654.3735259242035,1459.7008109655026,2514.1786253296877,2008-10-09
3352.3103865600206,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6328.830447508164,2657.145524794898,1465.3758109655025,2517.586958663021,2008-10-10
3353.2103865600207,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6332.476280841497,2659.922603658064,1469.7383109655025,2519.782610836934,2008-10-11
3353.781219893354,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6335.0110634501925,2662.704762513701,1473.292477632169,2521.032610836934,2008-10-12
3354.506219893354,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6337.5110634501925,2665.4920013618093,1476.8091442988357,2522.257610836934,2008-10-13
3355.364553226687,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6340.056896783526,2668.284320202389,1479.7091442988358,2523.7367775036005,2008-10-14
3356.24788656002,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6342.736063450193,2671.08171903544,1483.2883109655024,2525.203444170267,2008-10-15
3357.482669168716,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6345.683889537149,2673.8841978609626,1486.4716442988358,2526.4784441702673,2008-10-16
3358.2451691687156,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6347.6088895371495,2676.691756678956,1489.0716442988357,2527.2284441702673,2008-10-17
3359.316002502049,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6350.600556203816,2679.504395489421,1493.1216442988357,2528.5762702572238,2008-10-18
3361.653502502049,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6354.804722870483,2682.322114292357,1498.142477632169,2531.4304369238903,2008-10-19
3364.1201691687156,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6359.6088895371495,2685.1449130877645,1503.792477632169,2534.9031641966176,2008-10-20
3365.7576691687154,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6364.071389537149,2687.9727918756435,1509.092477632169,2536.9948308632843,2008-10-21
3367.074335835382,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6367.896389537149,2690.8057506559935,1513.6466442988356,2538.898997529951,2008-10-22
3370.378502502049,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6373.800556203815,2693.6437894288147,1519.767477632169,2542.8207366603856,2008-10-23
3372.0951691687155,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6379.350556203815,2696.4869081941074,1526.979977632169,2546.049903327052,2008-10-24
3375.0603865600197,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6385.004722870482,2699.3351069518712,1533.6258109655023,2549.4271760543247,2008-10-25
3376.706219893353,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6389.400556203815,2702.1883857021066,1539.1633109655022,2552.0313427209912,2008-10-26
3378.243719893353,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6393.842222870481,2705.046744444813,1543.8841442988355,2553.8646760543247,2008-10-27
3379.92288656002,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6397.721389537148,2707.9101831799912,1548.7633109655021,2555.7010396906885,2008-10-28
3381.2489735165414,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6401.171389537148,2710.7787019076404,1553.9549776321687,2557.292706357355,2008-10-29
3383.465640183208,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6405.792222870481,2713.6523006277607,1557.7424776321686,2559.8427063573554,2008-10-30
3385.428140183208,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6408.713056203815,2716.5309793403526,1560.750810965502,2562.371873024022,2008-10-31
3386.8989735165414,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6410.733889537148,2719.4147380454156,1562.3591442988354,2564.3457860675003,2008-11-01
3388.0671553347233,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6411.971389537148,2722.30357674295,1563.8716442988355,2566.2291194008335,2008-11-02
3388.9879886680565,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6413.271389537148,2725.1974954329557,1565.3716442988355,2567.8508585312684,2008-11-03
3390.029655334723,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6414.671389537148,2728.0964941154325,1566.9341442988355,2569.059191864602,2008-11-04
3390.638350986897,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6416.363056203814,2731.000572790381,1569.0966442988354,2569.7050251979354,2008-11-05
3391.363350986897,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6419.488056203814,2733.9097314578003,1572.163310965502,2571.1300251979355,2008-11-06
3393.850850986897,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6425.1213895371475,2736.8239701176913,1575.2299776321686,2574.6550251979356,2008-11-07
3396.1425176535636,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6429.733889537148,2739.7432887700534,1579.1299776321687,2577.9841918646025,2008-11-08
3398.3675176535635,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6435.888056203814,2742.6676874148866,1585.8424776321688,2582.049409255907,2008-11-09
3400.7883509868966,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6441.679722870481,2745.5971660521914,1593.1299776321687,2585.624409255907,2008-11-10
3402.9675176535634,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6446.654722870481,2748.5317246819673,1598.4174776321686,2588.2910759225733,2008-11-11
3404.2050176535636,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6449.396389537148,2751.4713633042147,1601.600810965502,2589.7160759225735,2008-11-12
3405.344148088346,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6451.433889537148,2754.4160819189333,1604.5341442988354,2591.2285759225733,2008-11-13
3406.4316480883463,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6453.892222870481,2757.3658805261234,1608.350810965502,2592.6764020095297,2008-11-14
3407.473314755013,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6456.925556203815,2760.3207591257847,1611.638310965502,2594.472235342863,2008-11-15
3408.0649814216795,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6459.104722870482,2763.280717717917,1614.3424776321685,2596.0139020095294,2008-11-16
3409.1774814216797,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6462.013056203816,2766.245756302521,1617.4466442988353,2597.9264020095293,2008-11-17
3410.6441480883464,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6465.425556203816,2769.215874879596,1621.2549776321687,2599.8046628790944,2008-11-18
3412.0774814216797,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6468.250556203816,2772.1910734491426,1624.8883109655021,2601.0364810609126,2008-11-19
3413.5566480883463,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6471.113056203816,2775.1713520111603,1628.7716442988356,2602.419814394246,2008-11-20
3415.500126349216,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6474.125556203816,2778.156710565649,1632.5466442988356,2604.0545970029416,2008-11-21
3417.158459682549,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6477.013056203816,2781.1471491126094,1635.779977632169,2605.6004303362747,2008-11-22
3419.2084596825493,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6481.667222870482,2784.142667652041,1641.779977632169,2607.7482564232314,2008-11-23
3421.4334596825493,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6488.054722870482,2787.143266183944,1647.754977632169,2610.6134738145356,2008-11-24
3422.9812857695056,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6491.067222870482,2790.148944708318,1650.5841442988356,2612.37869120584,2008-11-25
3423.9021191028387,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6492.679722870482,2793.1597032251634,1653.0633109655023,2613.16619120584,2008-11-26
